"prompt","task"
"Ein av kundane dine har ein forfallen faktura. Finn den forfalne fakturaen og bokfor eit purregebyr pa 35 kr. Debet kundefordringar (1500), kredit purregebyr (3400). Opprett også ein faktura for purregebyret til kunden og send den. Registrer i tillegg ei delbetaling på 5000 kr på den forfalne fakturaen.","Task 7: Registrer utgående betaling"
"Realize o encerramento anual simplificado de 2025: 1) Calcule e registe a depreciação anual de três ativos: Kontormaskiner (301750 NOK, 10 anos lineares, conta 1200), IT-utstyr (304100 NOK, 3 anos, conta 1210), Programvare (322800 NOK, 8 anos, conta 1250). Use conta 6010 para despesa de depreciação e 1209 para depreciação acumulada. 2) Reverta despesas antecipadas (total 27150 NOK na conta 1700). 3) Calcule e registe a provisão fiscal (22 % do resultado tributável) na conta 8700/2920. Registe cada depreciação como um lançamento separado.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Me har oppdaga feil i hovudboka for januar og februar 2026. Gå gjennom alle bilag og finn dei 4 feila: ei postering på feil konto (konto 6500 brukt i staden for 6540, beløp 3450 kr), eit duplikat bilag (konto 6540, beløp 3700 kr), ei manglande MVA-linje (konto 6540, beløp ekskl. 23500 kr manglar MVA på konto 2710), og eit feil beløp (konto 7300, 18600 kr bokført i staden for 11550 kr). Korriger alle feil med rette bilag.","Task 24: Feilsøking i hovedbok"
"Køyr løn for Brita Stølsvik (brita.stlsvik@example.org) for denne månaden. Grunnløn er 36000 kr. Legg til ein eingongsbonus på 15400 kr i tillegg til grunnløna.","Task 12: Lønnskjøring med tillegg"
"Uno de sus clientes tiene una factura vencida. Encuentre la factura vencida y registre un cargo por recordatorio de 60 NOK. Debito cuentas por cobrar (1500), credito ingresos por recordatorio (3400). También cree una factura por la tarifa de recordatorio al cliente y envíela. Además, registre un pago parcial de 5000 NOK en la factura vencida.","Task 7: Registrer utgående betaling"
"Ejecute el ciclo de vida completo del proyecto 'Migración Cloud Montaña' (Montaña SL, org. nº 903805021): 1) El proyecto tiene un presupuesto de 219800 NOK. 2) Registre horas: Ana Rodríguez (director de proyecto, ana.rodriguez@example.org) 36 horas y Isabel García (consultor, isabel.garcia@example.org) 69 horas. 3) Registre costo de proveedor de 46050 NOK de Luna SL (org. nº 988327581). 4) Cree una factura al cliente por el proyecto.","Task 29: Komplett prosjektsyklus med avvik"
"Opprett en ordre for kunden Fjordkraft AS (org.nr 911511053) med produktene Opplæring (7579) til 14650 kr og Webdesign (2292) til 11800 kr. Konverter ordren til faktura og registrer full betaling.","Task 10: Ordre til faktura til betaling"
"We have discovered errors in the general ledger for January and February 2026. Review all vouchers and find the 4 errors: a posting to the wrong account (account 7100 used instead of 7140, amount 6400 NOK), a duplicate voucher (account 7300, amount 1100 NOK), a missing VAT line (account 6500, amount excl. 19350 NOK missing VAT on account 2710), and an incorrect amount (account 6540, 20500 NOK posted instead of 12150 NOK). Correct all errors with appropriate correction vouchers.","Task 24: Feilsøking i hovedbok"
"Los costos totales aumentaron significativamente de enero a febrero de 2026. Analice el libro mayor e identifique las tres cuentas de gastos con el mayor incremento en monto. Cree un proyecto interno para cada una de las tres cuentas con el nombre de la cuenta. También cree una actividad para cada proyecto.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Führen Sie den vereinfachten Jahresabschluss für 2025 durch: 1) Berechnen und buchen Sie die jährliche Abschreibung für drei Anlagen: Programvare (419000 NOK, 6 Jahre linear, Konto 1250), Kontormaskiner (374150 NOK, 8 Jahre, Konto 1200), Kjøretøy (64300 NOK, 9 Jahre, Konto 1230). Verwenden Sie Konto 6010 für Abschreibungsaufwand und 1209 für kumulierte Abschreibungen. 2) Lösen Sie vorausbezahlte Aufwendungen auf (insgesamt 51000 NOK auf Konto 1700). 3) Berechnen und buchen Sie die Steuerrückstellung (22 % des steuerpflichtigen Gewinns) auf Konto 8700/2920. Buchen Sie jede Abschreibung als separaten Beleg.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Vous avez recu un contrat de travail (voir PDF ci-joint). Creez l'employe dans Tripletex avec tous les details du contrat : numero d'identite nationale, date de naissance, departement, code de profession, salaire, pourcentage d'emploi et date de debut.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Opprett kunden Snøhetta AS med organisasjonsnummer 969719878. Adressen er Industriveien 148, 2317 Hamar. E-post: post@snhetta.no.","Task 2: Opprett kunde med org.nr"
"Me har ein ny tilsett som heiter Torbjørn Neset, fødd 14. November 1991. Opprett vedkomande som tilsett med e-post torbjrn.neset@example.org og startdato 11. February 2026.","Task 1: Opprett ansatt"
"Voce recebeu uma fatura de fornecedor (ver PDF anexo). Registe a fatura no Tripletex. Crie o fornecedor se nao existir. Use a conta de despesas correta e o IVA de entrada.","Task 20: Leverandørfaktura fra PDF"
"Crie um pedido para o cliente Horizonte Lda (org. nº 904130338) com os produtos Serviço de rede (6247) a 15250 NOK e Desenvolvimento de sistemas (5919) a 13250 NOK. Converta o pedido em fatura e registe o pagamento total.","Task 10: Ordre til faktura til betaling"
"Recebemos a fatura INV-2026-6556 do fornecedor Solmar Lda (org. nº 974178680) no valor de 50750 NOK com IVA incluído. O montante refere-se a serviços de escritório (conta 6500). Registe a fatura do fornecedor com o IVA dedutível correto (25 %).","Task 11: Registrer leverandørfaktura"
"Les coûts totaux ont augmenté de manière significative de janvier à février 2026. Analysez le grand livre et identifiez les trois comptes de charges avec la plus forte augmentation. Créez un projet interne pour chacun des trois comptes avec le nom du compte. Créez également une activité pour chaque projet.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Me har oppdaga feil i hovudboka for januar og februar 2026. Gå gjennom alle bilag og finn dei 4 feila: ei postering på feil konto (konto 6540 brukt i staden for 6860, beløp 4600 kr), eit duplikat bilag (konto 6860, beløp 4150 kr), ei manglande MVA-linje (konto 7000, beløp ekskl. 24100 kr manglar MVA på konto 2710), og eit feil beløp (konto 6300, 21800 kr bokført i staden for 16250 kr). Korriger alle feil med rette bilag.","Task 24: Feilsøking i hovedbok"
"Køyr løn for Eirik Lunde (eirik.lunde@example.org) for denne månaden. Grunnløn er 39100 kr. Legg til ein eingongsbonus på 8200 kr i tillegg til grunnløna.","Task 12: Lønnskjøring med tillegg"
"Perform simplified year-end closing for 2025: 1) Calculate and post annual depreciation for three assets: Kontormaskiner (138450 NOK, 6 years straight-line, account 1200), Programvare (280000 NOK, 9 years, account 1250), Inventar (484650 NOK, 8 years, account 1240). Use account 6010 for depreciation expense and 1209 for accumulated depreciation. 2) Reverse prepaid expenses (total 52250 NOK on account 1700). 3) Calculate and post tax provision (22% of taxable profit) on account 8700/2920. Post each depreciation as a separate voucher.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Cree una dimensión contable personalizada ""Produktlinje"" con los valores ""Basis"" y ""Premium"". Luego registre un asiento en la cuenta 7140 por 39600 NOK, vinculado al valor de dimensión ""Premium"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"Legen Sie einen Festpreis von 473250 NOK für das Projekt ""Datensicherheit"" für Windkraft GmbH (Org.-Nr. 886395582) fest. Projektleiter ist Maximilian Wagner (maximilian.wagner@example.org). Stellen Sie dem Kunden 25 % des Festpreises als Meilensteinzahlung in Rechnung.","Task 15: Sett fastpris og fakturer prosjekt"
"Vous avez recu un contrat de travail (voir PDF ci-joint). Creez l'employe dans Tripletex avec tous les details du contrat : numero d'identite nationale, date de naissance, departement, code de profession, salaire, pourcentage d'emploi et date de debut.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Registe o fornecedor Floresta Lda com número de organização 883568885. E-mail: faktura@florestalda.no.","Task 4: Opprett leverandør"
"The payment from Ridgepoint Ltd (org no. 990845042) for the invoice ""Cloud Storage"" (43550 NOK excl. VAT) was returned by the bank. Reverse the payment so the invoice shows the outstanding amount again.","Task 18: Reverser betaling (bankretur)"
"Fixez un prix forfaitaire de 328650 NOK sur le projet ""Développement e-commerce"" pour Cascade SARL (nº org. 913754689). Le chef de projet est Alice Moreau (alice.moreau@example.org). Facturez au client 25 % du prix fixe comme paiement d'étape.","Task 15: Sett fastpris og fakturer prosjekt"
"Vi har en ny ansatt som heter Karin Berg, født 11. March 1992. Opprett vedkommende som ansatt med e-post karin.berg@example.org og startdato 29. March 2026.","Task 1: Opprett ansatt"
"Gjennomfør heile prosjektsyklusen for 'Dataplattform Sjøbris' (Sjøbris AS, org.nr 868541946): 1) Prosjektet har budsjett 361050 kr. 2) Registrer timar: Eirik Stølsvik (prosjektleiar, eirik.stlsvik@example.org) 41 timar og Geir Aasen (konsulent, geir.aasen@example.org) 122 timar. 3) Registrer leverandørkostnad 23500 kr frå Elvdal AS (org.nr 964202133). 4) Opprett kundefaktura for prosjektet.","Task 29: Komplett prosjektsyklus med avvik"
"Sett fastpris 181650 kr på prosjektet ""Nettbutikk-utvikling"" for Tindra AS (org.nr 870827946). Prosjektleder er Kristian Nilsen (kristian.nilsen@example.org). Fakturer kunden for 50 % av fastprisen som en delbetaling.","Task 15: Sett fastpris og fakturer prosjekt"
"Du har motteke ein arbeidskontrakt (sjaa vedlagt PDF). Opprett den tilsette i Tripletex med alle detaljar fraa kontrakten: personnummer, fodselsdato, avdeling, stillingskode, lonn, stillingsprosent og startdato.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Enviámos uma fatura de 2336 EUR ao Estrela Lda (org. nº 808808773) quando a taxa de câmbio era 11.17 NOK/EUR. O cliente pagou agora, mas a taxa é 12.13 NOK/EUR. Registe o pagamento e lance a diferença cambial (agio) na conta correta.","Task 27: Valutafaktura med agio/disagio"
"Gleichen Sie den Kontoauszug (beigefuegte CSV) mit den offenen Rechnungen in Tripletex ab. Ordnen Sie eingehende Zahlungen Kundenrechnungen und ausgehende Zahlungen Lieferantenrechnungen zu. Behandeln Sie Teilzahlungen korrekt.","Task 23: Bankavstemming fra CSV"
"Sie haben ein Angebotsschreiben erhalten (siehe beigefugte PDF) fuer einen neuen Mitarbeiter. Fuehren Sie das vollstaendige Onboarding durch: erstellen Sie den Mitarbeiter, weisen Sie die richtige Abteilung zu, richten Sie die Beschaeftigungsdetails mit Prozentsatz und Jahresgehalt ein, und konfigurieren Sie die Standardarbeitszeit.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Køyr løn for Brita Stølsvik (brita.stlsvik@example.org) for denne månaden. Grunnløn er 36000 kr. Legg til ein eingongsbonus på 15400 kr i tillegg til grunnløna.","Task 12: Lønnskjøring med tillegg"
"Opprett og send en faktura til kunden Polaris AS (org.nr 963373937) på 32600 kr eksklusiv MVA. Fakturaen gjelder Webdesign.","Task 6: Opprett enkel faktura"
"Crie o projeto ""Análise Porto"" vinculado ao cliente Porto Alegre Lda (org. nº 996943305). O gerente de projeto é Lucas Oliveira (lucas.oliveira@example.org).","Task 8: Opprett prosjekt knyttet til kunde"
"Voce recebeu um contrato de trabalho (ver PDF anexo). Crie o funcionario no Tripletex com todos os detalhes do contrato: numero de identidade nacional, data de nascimento, departamento, codigo de ocupacao, salario, percentagem de emprego e data de inicio.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Opprett tre avdelinger i Tripletex: ""Utvikling"", ""Drift"" og ""HR"".","Task 5: Opprett avdelinger"
"Registrer ei reiserekning for Svein Berge (svein.berge@example.org) for ""Kundebesøk Trondheim"". Reisa varte 5 dagar med diett (dagssats 800 kr). Utlegg: flybillett 2850 kr og taxi 200 kr.","Task 13: Registrer reiseregning med utlegg"
"Créez une facture pour le client Océan SARL (nº org. 974909103) avec trois lignes de produit : Développement système (9068) à 11000 NOK avec 25 % TVA, Licence logicielle (3111) à 7350 NOK avec 15 % TVA (alimentaire), et Session de formation (9564) à 13150 NOK avec 0 % TVA (exonéré).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Legen Sie einen Festpreis von 350650 NOK für das Projekt ""ERP-Implementierung"" für Sonnental GmbH (Org.-Nr. 877407047) fest. Projektleiter ist Finn Müller (finn.muller@example.org). Stellen Sie dem Kunden 25 % des Festpreises als Meilensteinzahlung in Rechnung.","Task 15: Sett fastpris og fakturer prosjekt"
"Os custos totais aumentaram significativamente de janeiro a fevereiro de 2026. Analise o livro razão e identifique as três contas de despesa com o maior aumento em valor. Crie um projeto interno para cada uma das três contas com o nome da conta. Também crie uma atividade para cada projeto.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Totalkostnadene auka monaleg frå januar til februar 2026. Analyser hovudboka og finn dei tre kostnadskontoane med størst auke i beløp. Opprett eit internt prosjekt for kvar av dei tre kontoane med kontoens namn. Opprett også ein aktivitet for kvart prosjekt.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Die Zahlung von Brückentor GmbH (Org.-Nr. 944848479) für die Rechnung ""Wartung"" (42200 NOK ohne MwSt.) wurde von der Bank zurückgebucht. Stornieren Sie die Zahlung, damit die Rechnung wieder den offenen Betrag anzeigt.","Task 18: Reverser betaling (bankretur)"
"Hemos descubierto errores en el libro mayor de enero y febrero de 2026. Revise todos los comprobantes y encuentre los 4 errores: un asiento en la cuenta incorrecta (cuenta 6860 usada en lugar de 6590, importe 2200 NOK), un comprobante duplicado (cuenta 6540, importe 2200 NOK), una línea de IVA faltante (cuenta 6590, importe sin IVA 19900 NOK falta IVA en cuenta 2710), y un importe incorrecto (cuenta 6300, 19650 NOK registrado en lugar de 16550 NOK). Corrija todos los errores con asientos correctivos.","Task 24: Feilsøking i hovedbok"
"Køyr løn for Eirik Brekke (eirik.brekke@example.org) for denne månaden. Grunnløn er 41050 kr. Legg til ein eingongsbonus på 9800 kr i tillegg til grunnløna.","Task 12: Lønnskjøring med tillegg"
"Kunden Vestfjord AS (org.nr 860678403) har reklamert på fakturaen for ""Skylagring"" (45350 kr ekskl. MVA). Opprett ei fullstendig kreditnota som reverserer heile fakturaen.","Task 14: Krediter faktura (kreditnota)"
"O cliente Cascata Lda (org. nº 967090743) reclamou sobre a fatura referente a ""Sessão de formação"" (23800 NOK sem IVA). Emita uma nota de crédito completa que reverta toda a fatura.","Task 14: Krediter faktura (kreditnota)"
"Uno de sus clientes tiene una factura vencida. Encuentre la factura vencida y registre un cargo por recordatorio de 35 NOK. Debito cuentas por cobrar (1500), credito ingresos por recordatorio (3400). También cree una factura por la tarifa de recordatorio al cliente y envíela. Además, registre un pago parcial de 5000 NOK en la factura vencida.","Task 7: Registrer utgående betaling"
"Voce recebeu uma fatura de fornecedor (ver PDF anexo). Registe a fatura no Tripletex. Crie o fornecedor se nao existir. Use a conta de despesas correta e o IVA de entrada.","Task 20: Leverandørfaktura fra PDF"
"Créez trois départements dans Tripletex : ""Produksjon"", ""Salg"" et ""Logistikk"".","Task 5: Opprett avdelinger"
"The payment from Ridgepoint Ltd (org no. 990845042) for the invoice ""Cloud Storage"" (43550 NOK excl. VAT) was returned by the bank. Reverse the payment so the invoice shows the outstanding amount again.","Task 18: Reverser betaling (bankretur)"
"Registrer ei reiserekning for Svein Vik (svein.vik@example.org) for ""Kundebesøk Bergen"". Reisa varte 5 dagar med diett (dagssats 800 kr). Utlegg: flybillett 7900 kr og taxi 250 kr.","Task 13: Registrer reiseregning med utlegg"
"The customer Ironbridge Ltd (org no. 985423849) has an outstanding invoice for 32900 NOK excluding VAT for ""Web Design"". Register full payment on this invoice.","Task 7: Registrer utgående betaling"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (3500 NOK pro Monat von Konto 1710 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 79150 NOK und Nutzungsdauer 6 Jahre (lineare Abschreibung auf Konto 6020). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Crea un pedido para el cliente Río Verde SL (org. nº 937237243) con los productos Informe de análisis (5700) a 33200 NOK y Diseño web (2680) a 17200 NOK. Convierte el pedido en factura y registra el pago completo.","Task 10: Ordre til faktura til betaling"
"We need the Kontorstoler expense from this receipt posted to department Økonomi. Use the correct expense account and ensure proper VAT treatment.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Opprett en ordre for kunden Fjordkraft AS (org.nr 911511053) med produktene Opplæring (7579) til 14650 kr og Webdesign (2292) til 11800 kr. Konverter ordren til faktura og registrer full betaling.","Task 10: Ordre til faktura til betaling"
"Voce recebeu uma fatura de fornecedor (ver PDF anexo). Registe a fatura no Tripletex. Crie o fornecedor se nao existir. Use a conta de despesas correta e o IVA de entrada.","Task 20: Leverandørfaktura fra PDF"
"Der Kunde Sonnental GmbH (Org.-Nr. 855482207) hat eine offene Rechnung über 33500 NOK ohne MwSt. für ""Wartung"". Registrieren Sie die vollständige Zahlung dieser Rechnung.","Task 7: Registrer utgående betaling"
"Crie três departamentos no Tripletex: ""Drift"", ""Kundeservice"" e ""HR"".","Task 5: Opprett avdelinger"
"Crea el cliente Río Verde SL con número de organización 919234830. La dirección es Solveien 5, 4006 Stavanger. Correo: post@rio.no.","Task 2: Opprett kunde med org.nr"
"Nous avons reçu la facture INV-2026-4647 du fournisseur Cascade SARL (nº org. 951586935) de 30000 NOK TTC. Le montant concerne des services de bureau (compte 6860). Enregistrez la facture fournisseur avec la TVA déductible correcte (25 %).","Task 11: Registrer leverandørfaktura"
